exit_date,cumulative_pnl
2024-01-16,36190.0
2024-01-17,73850.0
2024-01-18,90510.0
2024-01-19,89330.0
2024-01-23,59330.0
2024-01-24,68800.0
2024-01-25,63800.0
2024-01-29,57050.0
2024-01-30,71550.0
2024-01-31,102700.0
2024-02-01,97700.0
2024-02-02,118300.0
2024-02-05,128870.0
2024-02-06,123870.0
2024-02-07,113870.0
2024-02-08,108710.0
2024-02-09,61920.0
2024-02-12,104150.0
2024-02-13,228960.0
2024-02-14,224120.0
2024-02-15,235790.0
2024-02-16,245010.0
2024-02-19,238120.0
2024-02-20,223120.0
2024-02-21,196630.0
2024-02-22,191180.0
2024-02-23,232200.0
2024-02-26,232200.0
2024-02-27,210250.0
2024-02-28,186440.0
2024-02-29,237680.0
2024-03-01,237960.0
2024-03-04,280130.0
2024-03-05,302140.0
2024-03-06,273780.0
2024-03-07,301820.0
2024-03-11,272630.0
2024-03-12,252160.0
2024-03-13,315830.0
2024-03-14,373420.0
2024-03-15,374510.0
2024-03-18,366490.0
2024-03-19,349050.0
2024-03-20,337090.0
2024-03-21,333670.0
2024-03-22,341150.0
2024-03-26,341440.0
2024-03-27,330850.0
2024-03-28,331420.0
2024-04-01,332820.0
2024-04-02,332820.0
2024-04-03,335610.0
2024-04-04,335610.0
2024-04-05,332350.0
2024-04-09,332350.0
2024-04-10,317190.0
2024-04-12,315630.0
2024-04-15,238480.0
2024-04-16,249810.0
2024-04-18,237630.0
2024-04-19,218240.0
2024-04-22,206670.0
2024-04-23,206730.0
2024-04-24,182620.0
2024-04-25,179690.0
2024-04-26,185690.0
2024-04-29,180690.0
2024-04-30,175320.0
2024-05-02,160320.0
2024-05-03,181080.0
2024-05-06,141060.0
2024-05-07,127070.0
2024-05-08,215070.0
2024-05-09,191100.0
2024-05-10,193570.0
2024-05-13,218190.0
2024-05-14,230540.0
2024-05-15,248910.0
2024-05-16,249330.0
2024-05-17,247410.0
2024-05-21,232410.0
2024-05-22,212410.0
2024-05-23,212410.0
2024-05-24,207410.0
2024-05-27,175510.0
2024-05-28,188470.0
2024-05-29,189240.0
2024-05-30,165660.0
2024-05-31,154490.0
2024-06-03,167700.0
2024-06-04,62580.0
2024-06-05,152930.0
2024-06-06,204350.0
2024-06-07,209930.0
2024-06-10,207030.0
2024-06-11,206860.0
2024-06-13,188810.0
2024-06-14,187160.0
2024-06-18,177160.0
2024-06-19,191690.0
2024-06-20,173630.0
2024-06-21,143630.0
2024-06-24,156480.0
2024-06-25,148910.0
2024-06-26,149990.0
2024-06-27,131610.0
2024-06-28,206010.0
2024-07-01,196010.0
2024-07-02,191120.0
2024-07-03,188400.0
2024-07-04,173400.0
2024-07-05,176830.0
2024-07-08,212360.0
2024-07-09,235090.0
2024-07-10,174700.0
2024-07-11,213070.0
2024-07-12,195010.0
2024-07-15,187140.0
2024-07-16,244800.0
2024-07-18,214800.0
2024-07-19,174150.0
2024-07-22,281130.0
2024-07-23,316130.0
2024-07-24,318920.0
2024-07-25,317400.0
2024-07-26,312400.0
2024-07-29,312400.0
2024-07-30,304050.0
2024-07-31,298700.0
2024-08-01,272400.0
2024-08-02,230490.0
2024-08-05,142130.0
2024-08-06,218790.0
2024-08-07,238470.0
2024-08-08,226380.0
2024-08-09,220990.0
2024-08-12,214350.0
2024-08-13,185820.0
2024-08-14,188050.0
2024-08-16,168030.0
2024-08-19,164480.0
2024-08-20,162620.0
2024-08-21,158300.0
2024-08-22,148860.0
2024-08-23,155480.0
2024-08-26,136810.0
2024-08-27,116820.0
2024-08-28,111350.0
2024-08-29,86140.0
2024-08-30,79980.0
2024-09-02,132430.0
2024-09-03,143950.0
2024-09-04,135810.0
2024-09-05,143920.0
2024-09-06,116120.0
2024-09-09,91680.0
2024-09-10,140470.0
2024-09-11,130470.0
2024-09-12,148550.0
2024-09-13,153850.0
2024-09-16,140490.0
2024-09-17,132460.0
2024-09-18,125350.0
2024-09-19,132240.0
2024-09-20,152900.0
2024-09-23,143010.0
2024-09-24,140030.0
2024-09-25,135930.0
2024-09-26,137100.0
2024-09-27,150000.0
2024-09-30,131030.0
2024-10-01,189480.0
2024-10-03,249020.0
2024-10-04,306660.0
2024-10-07,264660.0
2024-10-08,370590.0
2024-10-09,384430.0
2024-10-10,380680.0
2024-10-11,376360.0
2024-10-14,368900.0
2024-10-15,362270.0
2024-10-16,352270.0
2024-10-17,316650.0
2024-10-18,299590.0
2024-10-21,267670.0
2024-10-22,244270.0
2024-10-23,275770.0
2024-10-24,265180.0
2024-10-25,222810.0
2024-10-28,210710.0
2024-10-29,212320.0
2024-10-30,219750.0
2024-10-31,214850.0
2024-11-01,220740.0
2024-11-04,215320.0
