Rank,Ticker,Sector,Industry,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Price,MarketCap,PctFrom52WkHigh,AvgVol10,AvgVol30,AvgVol50
960,KANPRPLA,Consumer Cyclical,Packaging & Containers,100.42,51,60,76,85,205.38,5415969457.5,-16.85,23222,35520,26650
961,MAMATA,Industrials,Specialty Industrial Machinery,100.42,51,36,55,74,425.3,9731154810.388184,-21.39,83440,60061,71987
962,MAXESTATES,Real Estate,Real Estate - Development,100.4,51,63,41,42,421.45,63304215683.49335,-18.57,56306,151340,107002
963,MOTILALOFS,Financial Services,Capital Markets,100.38,51,77,62,56,882.0,525041825903.22363,-19.61,781288,1192432,1104575
964,DEVYANI,Consumer Cyclical,Restaurants,100.26,51,24,17,23,133.56,138459142291.93365,-30.07,10592836,4703395,4256492
965,MSPL,Basic Materials,Steel,100.24,51,78,93,67,35.6,20047596728.24587,-22.81,957213,806137,2251233
966,XPROINDIA,Basic Materials,Specialty Chemicals,100.24,51,89,70,26,1068.1,32534654858.184814,-32.18,162910,82667,100595
967,IIFLCAPS,Financial Services,Capital Markets,100.21,51,64,81,85,333.9,107097189771.45331,-18.82,393039,365348,501452
968,RGL,Consumer Cyclical,Luxury Goods,100.17,51,57,19,47,116.77,12684597255.359604,-21.05,541246,387111,566887
969,LTFOODS,Consumer Defensive,Packaged Foods,100.17,51,39,57,76,422.75,130428207885.86377,-16.75,1360373,742303,696393
970,TATASTEEL,Basic Materials,Steel,100.14,51,59,85,94,190.24,2278232380447.405,-15.22,22660126,22195968,25612646
971,SPANDANA,Financial Services,Credit Services,100.05,51,83,59,53,252.7,23179230819.0,-20.88,239832,456305,408172
972,SUPREMEINF,Industrials,Engineering & Construction,100.04,50,32,40,29,88.39,8046902663.778076,-30.89,214229,243271,188244
973,MANYAVAR,Consumer Cyclical,Apparel Manufacturing,100.01,50,4,8,5,524.9,97749742697.46918,-34.71,5455624,1959546,1231647
974,SADBHAV,Industrials,Engineering & Construction,100.0,50,8,45,1,8.86,1355409336.3622665,-50.36,472692,266877,225819
975,WINDLAS,Healthcare,Drug Manufacturers - Specialty & Generic,99.96,50,50,35,44,839.65,17704852922.457092,-23.52,37150,45769,44352
976,EMKAY,Financial Services,Capital Markets,99.96,50,69,21,73,239.42,6592376410.0,-41.59,38237,40392,137457
977,BASF,Basic Materials,Specialty Chemicals,99.93,50,24,43,27,4031.6,158866953814.44336,-21.72,137895,58065,46355
978,CLSEL,Consumer Defensive,Packaged Foods,99.92,50,59,54,57,278.9,13913227868.997803,-15.99,89374,71510,413426
979,MSUMI,Consumer Cyclical,Auto Parts,99.91,50,40,55,75,41.04,265995962776.4252,-23.42,13023872,11662601,15427400
980,ZOTA,Healthcare,Biotechnology,99.89,50,59,58,86,1272.1,38170615050.94336,-26.89,34232,51375,61734
981,LAMBODHARA,Consumer Cyclical,Textile Manufacturing,99.88,50,40,30,30,113.48,1165093117.163086,-29.95,8275,11786,31049
982,MOSCHIP,Technology,Semiconductor Equipment & Materials,99.84,50,79,76,63,204.42,45086601802.09296,-29.13,2761140,5046251,3933069
983,TIMKEN,Industrials,Tools & Accessories,99.82,50,48,84,76,3283.9,235208981218.0,-16.33,40898,60786,62836
984,COROMANDEL,Basic Materials,Agricultural Inputs,99.81,50,41,17,75,2098.3,583338956910.9187,-22.83,125268,181584,260350
985,GOKUL,Consumer Defensive,Packaged Foods,99.8,50,57,79,11,39.44,3888523479.156494,-14.41,138950,151373,167609
986,DIGJAMLMTD,Consumer Cyclical,Textile Manufacturing,99.79,50,27,63,77,49.0,808000030.5175781,-17.99,24562,31128,22512
987,HEXT,Technology,Information Technology Services,99.78,50,35,14,20,570.3,336328931007.37427,-31.24,1693491,1336465,1194943
988,MODTHREAD,Consumer Cyclical,Textile Manufacturing,99.77,50,57,72,65,46.26,1657384120.2937317,-25.39,852,2076,1525
989,BANDHANBNK,Financial Services,Banks - Regional,99.73,50,85,82,79,172.62,267326160740.1123,-21.81,11295610,17205794,13941001
990,MGL,Utilities,Utilities - Regulated Gas,99.72,50,44,36,44,1123.6,106383667983.0,-21.31,480337,259592,252141
